16916,20,0
62493,29,0
30198,246,29
53683,179,108
40185,249,0
28781,109,0
24462,142,23
48399,15,67
64815,47,75
18295,119,-35
12218,186,11
22760,232,0
57982,126,56
27966,62,27
54894,110,53
38929,17,0
32865,97,0
64243,243,-68
2315,11,66
64454,198,62
55041,1,0
18633,201,0
14557,221,0
61006,78,59
62615,151,37
7591,167,105
64747,235,58
6727,71,-111
32315,59,-114
60645,229,0
6308,164,0
45688,120,0
969,201,0
40891,187,-18
49294,142,48
41118,158,40
21395,147,-28
6091,203,-14
32541,29,0
17665,1,0
3784,200,0
28718,46,28
59240,104,0
40178,242,39
60086,182,58
42252,12,0
44770,226,43
22514,242,21
3067,251,-2
15757,141,0
31649,161,0
10842,90,10
43765,245,0
33405,125,0
44954,154,43
56657,81,0
5003,139,-30
50227,51,12
19358,158,18
36529,177,0
10392,152,0
58882,2,57
5129,9,0
58554,186,57
58584,216,0
27444,52,0
58982,102,57
51476,20,0
6796,140,0
21311,63,-49
30705,241,0
28964,36,0
41003,43,10
20259,35,-56
57857,1,0
63258,26,61
36374,22,35
692,180,0
43121,113,0
48128,0,0
34561,1,0
49213,61,0
36922,58,36
59162,26,57
50552,120,0
17866,202,17
18145,225,0
3884,44,0
54388,116,0
42932,180,0
46919,71,-47
58892,12,0
8620,172,0
38336,192,0
64357,101,0
23387,91,-42
42632,136,0
15913,41,0
15679,63,79
22501,229,0
37540,164,0
5527,151,101
63921,177,0
62716,252,0
32874,106,32
64390,134,62
63101,125,0
61802,106,60
19648,192,0
29031,103,89
44981,181,0
28092,188,0
9448,232,0
44744,200,0
61496,56,0
31453,221,0
60746,74,59
12199,167,-23
62255,47,-53
21793,33,0
26544,176,0
14964,116,0
41462,246,40
56089,25,0
52038,70,50
47982,110,46
59484,92,0
50924,236,0
6942,30,6
34998,182,34
27069,189,0
51926,214,50
60645,229,0
43181,173,0
10559,63,79
4664,56,0
28578,162,27
59516,124,0
38912,0,0
63562,74,62
64846,78,63
62938,218,61
27194,58,26
28804,132,0
61703,7,65
10998,246,10
6596,196,0
37721,89,0
43430,166,42
22692,164,0
62971,251,126
47125,21,0
52521,41,0
34646,86,33
32889,121,0
13055,255,-65
65416,136,0
62869,149,0
57314,226,55
12659,115,92
14052,228,0
32956,188,0
49273,121,0
50352,176,0
49737,73,0
15555,195,48
47475,115,92
15328,224,0
34621,61,0
51365,165,0
32820,52,0
48855,215,-75
12224,192,0
2035,243,-4
60539,123,30
14595,3,64
13853,29,0
24143,79,-109
15216,112,0
8113,177,0
22640,112,0
32978,210,32
39151,239,59
19520,64,0
58141,29,0
63959,215,117
53040,48,0
55842,34,54
585,73,0
51229,29,0
64181,181,0
54879,95,-105
28210,50,27
10268,28,0
15395,35,8
12884,84,0
2149,101,0
53483,235,58
59606,214,58
14981,133,0
36672,64,0
23197,157,0
36518,166,35
13361,49,0
19810,98,19
25955,99,88
62678,214,61
26021,165,0
29409,225,0
38111,223,55
58573,205,0
56840,8,0
41306,90,40
54426,154,53
3617,33,0
50652,220,0
41452,236,0
20241,17,0
31723,235,-6
53747,243,124
28550,134,27
23402,106,22
21205,213,0
56181,117,0
57470,126,56
39933,253,0
34964,148,0
24781,205,0
41747,19,-60
62564,100,0
58461,93,0
20858,122,20
49301,149,0
40572,124,0
23840,32,0
35278,206,34
62905,185,0
56650,74,55
11149,141,0
38920,8,0
23430,134,22
57592,248,0
3080,8,0
6677,21,0
50704,16,0
51883,171,-86
62799,79,83
20188,220,0
1245,221,0
12220,188,0
17602,194,17
28609,193,0
42694,198,41
29826,130,29
13827,3,-128
27336,200,0
53343,95,23
11533,13,0
41713,241,0
33890,98,33
4894,30,4
57599,255,63
3870,30,3
58622,254,57
29780,84,0
62553,89,0
2303,255,63
51915,203,-78
6251,107,26
38107,219,54
59325,189,0
61295,111,-37
26699,75,18
51188,244,0
59519,127,31
7345,177,0
20325,101,0
39633,209,0
1562,26,1
7580,156,0
8170,234,7
62256,48,0
35823,239,-5
27790,142,27
13191,135,-31
9772,44,0
7477,53,0
44455,167,105
59546,154,58
49347,195,48
36539,187,-82
12453,165,0
49640,232,0
28290,130,27
44817,17,0
8565,117,0
16399,15,3
41934,206,40
45457,145,0
33856,64,0
19498,42,19
17661,253,0
63829,85,0
42034,50,41
28928,0,0
30711,247,-3
8800,96,0
52335,111,27
38775,119,-35
52704,224,0
24380,60,0
19602,146,19
57998,142,56
2919,103,-39
8362,170,8
17884,220,0
45737,169,0
47894,22,46
59667,19,68
10385,145,0
52782,46,51
64416,160,0
40946,242,39
16778,138,16
27159,23,-123
24324,4,0
32450,194,31
9108,148,0
65305,25,0
19575,119,29
11117,109,0
65170,146,63
58013,157,0
61676,236,0
63510,22,62
17458,50,17
54675,147,100
1713,177,0
55105,65,0
65321,41,0
45278,222,44
26256,144,0
64198,198,62
29441,1,0
1928,136,0
39425,1,0
32000,0,0
28549,133,0
46295,215,53
22772,244,0
58228,116,0
63525,37,0
32602,90,31
46195,115,28
55849,41,0
46454,118,45
7487,63,79
33879,87,21
42004,20,0
8599,151,101
18641,209,0
49015,119,-35
26830,206,26
34754,194,33
14668,76,0
38362,218,37
38791,135,-31
4171,75,18
45975,151,-27
14623,31,71
62393,185,0
64658,146,63
10963,211,-76
9058,98,8
51031,87,-43
32425,169,0
45483,171,106
44611,67,-112
63664,176,0
54920,136,0
7663,239,123
56480,160,0
1489,209,0
28438,22,27
65449,169,0
12441,153,0
58530,162,57
63570,82,62
26251,139,-94
15972,100,0
35826,242,34
5491,115,92
54253,237,0
49655,247,125
5868,236,0
20163,195,-80
51079,135,-31
21398,150,20
32756,244,0
64196,196,0
43218,210,42
21583,79,19
25086,254,24
45515,203,114
12893,93,0
22914,130,22
58969,89,0
20094,126,19
13730,162,13
44059,27,6
28931,3,64
13533,221,0
33134,110,32
28483,67,-48
1220,196,0
38174,30,37
53502,254,52
43328,64,0
4970,106,4
8090,154,7
2661,101,0
53903,143,-93
11025,17,0
26627,3,0
18117,197,0
14505,169,0
61528,88,0
20423,199,-15
26962,82,26
36392,40,0
11365,101,0
50882,194,49
41668,196,0
30497,33,0
36216,120,0
5619,243,124
36983,119,29
59557,165,0
36663,55,-51
36436,84,0
37057,193,0
23585,33,0
58791,167,105
46666,74,45
64475,219,-10
21615,111,27
41090,130,40
1771,235,-70
47513,153,0
39338,170,38
1390,110,1
38772,116,0
58149,37,0
