16916,66, 20,0
62493,244, 29,0
30198,117, 246,29
53683,209, 179,108
40185,156, 249,0
28781,112, 109,0
24462,95, 142,23
48399,189, 15,67
64815,253, 47,75
18295,71, 119,-35
12218,47, 186,11
22760,88, 232,0
57982,226, 126,56
27966,109, 62,27
54894,214, 110,53
38929,152, 17,0
32865,128, 97,0
64243,250, 243,-68
2315,9, 11,66
64454,251, 198,62
55041,215, 1,0
18633,72, 201,0
14557,56, 221,0
61006,238, 78,59
62615,244, 151,37
7591,29, 167,105
64747,252, 235,58
6727,26, 71,-111
32315,126, 59,-114
60645,236, 229,0
6308,24, 164,0
45688,178, 120,0
969,3, 201,0
40891,159, 187,-18
49294,192, 142,48
41118,160, 158,40
21395,83, 147,-28
6091,23, 203,-14
32541,127, 29,0
17665,69, 1,0
3784,14, 200,0
28718,112, 46,28
59240,231, 104,0
40178,156, 242,39
60086,234, 182,58
42252,165, 12,0
44770,174, 226,43
22514,87, 242,21
3067,11, 251,-2
15757,61, 141,0
31649,123, 161,0
10842,42, 90,10
43765,170, 245,0
33405,130, 125,0
44954,175, 154,43
56657,221, 81,0
5003,19, 139,-30
50227,196, 51,12
19358,75, 158,18
36529,142, 177,0
10392,40, 152,0
58882,230, 2,57
5129,20, 9,0
58554,228, 186,57
58584,228, 216,0
27444,107, 52,0
58982,230, 102,57
51476,201, 20,0
6796,26, 140,0
21311,83, 63,-49
30705,119, 241,0
28964,113, 36,0
41003,160, 43,10
20259,79, 35,-56
57857,226, 1,0
63258,247, 26,61
36374,142, 22,35
692,2, 180,0
43121,168, 113,0
48128,188, 0,0
34561,135, 1,0
49213,192, 61,0
36922,144, 58,36
59162,231, 26,57
50552,197, 120,0
17866,69, 202,17
18145,70, 225,0
3884,15, 44,0
54388,212, 116,0
42932,167, 180,0
46919,183, 71,-47
58892,230, 12,0
8620,33, 172,0
38336,149, 192,0
64357,251, 101,0
23387,91, 91,-42
42632,166, 136,0
15913,62, 41,0
15679,61, 63,79
22501,87, 229,0
37540,146, 164,0
5527,21, 151,101
63921,249, 177,0
62716,244, 252,0
32874,128, 106,32
64390,251, 134,62
63101,246, 125,0
61802,241, 106,60
19648,76, 192,0
29031,113, 103,89
44981,175, 181,0
28092,109, 188,0
9448,36, 232,0
44744,174, 200,0
61496,240, 56,0
31453,122, 221,0
60746,237, 74,59
12199,47, 167,-23
62255,243, 47,-53
21793,85, 33,0
26544,103, 176,0
14964,58, 116,0
41462,161, 246,40
56089,219, 25,0
52038,203, 70,50
47982,187, 110,46
59484,232, 92,0
50924,198, 236,0
6942,27, 30,6
34998,136, 182,34
27069,105, 189,0
51926,202, 214,50
60645,236, 229,0
43181,168, 173,0
10559,41, 63,79
4664,18, 56,0
28578,111, 162,27
59516,232, 124,0
38912,152, 0,0
63562,248, 74,62
64846,253, 78,63
62938,245, 218,61
27194,106, 58,26
28804,112, 132,0
61703,241, 7,65
10998,42, 246,10
6596,25, 196,0
37721,147, 89,0
43430,169, 166,42
22692,88, 164,0
62971,245, 251,126
47125,184, 21,0
52521,205, 41,0
34646,135, 86,33
32889,128, 121,0
13055,50, 255,-65
65416,255, 136,0
62869,245, 149,0
57314,223, 226,55
12659,49, 115,92
14052,54, 228,0
32956,128, 188,0
49273,192, 121,0
50352,196, 176,0
49737,194, 73,0
15555,60, 195,48
47475,185, 115,92
15328,59, 224,0
34621,135, 61,0
51365,200, 165,0
32820,128, 52,0
48855,190, 215,-75
12224,47, 192,0
